"phenotype_id","target_table","category","field_or_phenotype","data_type","allowed_values_or_format","unit","description","examples_observed_in_reports","extraction_notes"
"record_id","dog_summary","identity_and_source","record_id","string","","","Stable extraction row id.","All reports","Generated by pipeline."
"source_file","dog_summary","identity_and_source","source_file","string","","","Original PDF path or filename.","All reports","Keep path or stable filename."
"source_report_id","dog_summary","identity_and_source","source_report_id","string","","","Inventory id such as R01.","All reports","Links to report_inventory.csv."
"extraction_status","dog_summary","identity_and_source","extraction_status","enum","complete|partial|ocr_needed|failed","","Whether the report was fully processed.","Sparse scanned report","Use ocr_needed for sparse/scanned PDFs."
"dog_name","dog_summary","identity_and_source","dog_name","string","","","Patient name as written.","Example patient names","Do not use owner name as dog name."
"species","dog_summary","identity_and_source","species","enum","canine|other|unknown|not_reported","","Species as written and normalized.","CANINE; Canine","Expected canine but still capture source value."
"breed_raw","dog_summary","identity_and_source","breed_raw","string","","","Breed phrase as written.","Mixed; Great Pyrenees Mix; Goldendoodle; Alaskan Malamute; Manchester Terrier","Retain source spelling."
"breed_primary","dog_summary","identity_and_source","breed_primary","string","","","Normalized primary breed if possible.","Alaskan Malamute; Standard Schnauzer; Goldendoodle","Use raw if normalization is uncertain."
"mixed_breed_status","dog_summary","identity_and_source","mixed_breed_status","enum","purebred|mixed|unknown|not_reported","","Whether the report implies mixed breed.","Mixed; Great Pyrenees Mix; Goldendoodle","Do not over-normalize designer crosses."
"sex_raw","dog_summary","identity_and_source","sex_raw","string","","","Sex field exactly as written.","Male Neutered; MN; FS; Male intact","Retain abbreviations."
"sex","dog_summary","identity_and_source","sex","enum","male|female|unknown|not_reported","","Biologic sex from report.","Male; Female","Normalize from raw field."
"reproductive_status","dog_summary","identity_and_source","reproductive_status","enum","intact|spayed|neutered|castrated|unknown|not_reported","","Spay/neuter/intact status.","Male Neutered; MN; FS; castrated; intact","Castrated and neutered can be equivalent but retain raw value separately."
"date_of_birth","dog_summary","identity_and_source","date_of_birth","date","YYYY-MM-DD","","Birthdate if available.","06-22-09; 04/07/2012; 01/02/2021","Convert only when unambiguous."
"age_reported","dog_summary","identity_and_source","age_reported","string","","","Age phrase as written.","8y; 4 Yrs. 9 Mos.; 9 weeks and 4 days","Retain if date conversion is uncertain."
"age_years_at_report","dog_summary","identity_and_source","age_years_at_report","number","","years","Age converted to years when safe.","2y; 10 years and ...","Use visit date when available."
"coat_color","dog_summary","identity_and_source","coat_color","string","","","Coat color or color description.","Golden; White and Tan; Seal and White; Black/Tan","Retain source spelling."
